Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,209998051.88179016,17,16,956,1048,78,54,56.23529411764706,5.450627721699,70,54,65.5,4.663689526544408,9.542945670410647,0.15714431493191186,13547950.713865219,4433562.649116419,15021835.803985596,995.635986328125,209998051.88179016,13124878.242611885,4960642.185967881,15020895.48110962,995.635986328125,209988420.24803162,13999228.01653544,3739025.391766155,15021835.803985596,10841.608047485352,1,0,0,0,378,488,0.08095313193462127,0.07619118299729061,54,78,60.72727272727273,6.876718417846343,47.289256198347104,2,0,1,1,32,0,0,0,0.9411764705882353,60.72727272727273,56.23529411764706,65.5,378,0,0,0,0,0,0,17,956,16,1048,253,1046,15,20,0,0,0,0,0,0,0,0,BENIGN
443,210256959.43832397,18,16,1034,1068,78,54,57.44444444444444,7.274172134814626,70,58,66.75,3.799671038392666,9.997290960619038,0.16170689470078367,13140569.292008877,4924726.077760935,15029150.009155273,998.9738464355469,210250280.85708618,12367663.5798286,5691485.552189936,15029150.009155273,998.9738464355469,210247936.48719788,14016529.099146524,3685534.161497491,15024171.113967896,228248.11935424805,2,0,0,0,422,488,0.08560953248865018,0.07609736221213349,54,78,61.8235294117647,7.508703139515521,56.38062283737024,3,0,1,2,33,0,0,0,0.8888888888888888,61.8235294117647,57.44444444444444,66.75,422,0,0,0,0,0,0,18,1034,16,1068,253,1046,16,20,0,0,0,0,0,0,0,0,BENIGN
443,245047274.35112,2,2,110,132,55,55,55.0,0.0,66,66,66.0,0.0,0.9875645450079413,0.01632338090922217,245027545.92895508,179.05235290527344,245027724.98130798,245027366.87660217,245027724.98130798,245027724.98130798,0.0,245027724.98130798,245027724.98130798,245027366.87660217,245027366.87660217,0.0,245027366.87660217,245027366.87660217,0,0,0,0,42,64,0.008161690454611086,0.008161690454611086,55,66,60.5,5.5,30.25,0,0,0,0,4,0,0,0,1.0,60.5,55.0,66.0,42,0,0,0,0,0,0,2,110,2,132,254,7368,2,21,0,0,0,0,0,0,0,0,BENIGN
65462,292600010.8718872,74,65,12200,9205,1144,64,164.86486486486487,252.53596609379764,755,71,141.6153846153846,165.44808084599018,73.15447438370747,0.47505124687387706,4271433.177655631,5081175.993480778,15028142.213821411,0.0,292594550.37117004,4008144.525632466,5024701.303921636,15028142.213821411,0.0,292591794.96765137,4571746.796369553,5128360.040591783,15006504.29725647,1013.5173797607422,0,0,0,0,0,0,0.2529049803501216,0.22214626652375546,64,1144,153.9928057553957,216.53353027283214,46886.76973241551,0,0,0,0,0,0,0,0,0.8783783783783784,153.9928057553957,164.86486486486487,141.6153846153846,0,0,0,0,0,0,0,74,12200,65,9205,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
50191,285065665.24505615,20,20,1820,1080,91,91,91.0,0.0,54,54,54.0,0.0,10.173094671036656,0.1403185471867125,15000705.869574295,5363.1135141932755,15014677.52456665,14987319.469451904,285011326.0746002,15000596.109189486,2121.486144405222,15004898.54812622,14996432.065963745,285015496.969223,15000815.629959106,7280.190587285075,15014677.52456665,14987319.469451904,20,0,0,0,1140,400,0.07015927359335625,0.07015927359335625,54,91,72.5,18.5,342.25,0,0,0,20,40,0,0,0,1.0,72.5,91.0,54.0,1140,0,0,0,0,0,0,20,1820,20,1080,16,251,20,57,0,0,0,0,0,0,0,0,BENIGN
50931,285100560.42671204,20,20,1820,1080,91,91,91.0,0.0,54,54,54.0,0.0,10.171849524460946,0.14030137275118545,15002584.131140457,16454.27417492733,15056276.321411133,14941836.11869812,285051948.5473633,15002734.134071752,9092.276873347275,15039628.028869629,14994247.436523438,285046248.4359741,15002434.128209164,21418.958348784417,15056276.321411133,14941836.11869812,20,0,0,0,1140,400,0.07015068637559273,0.07015068637559273,54,91,72.5,18.5,342.25,0,0,0,20,40,0,0,0,1.0,72.5,91.0,54.0,1140,0,0,0,0,0,0,20,1820,20,1080,16,251,20,57,0,0,0,0,0,0,0,0,BENIGN
5228,270348690.50979614,7,7,385,470,55,55,55.0,0.0,70,66,67.14285714285714,1.8070158058105026,3.1625823612747217,0.051784974336662105,45050902.08848318,5863.215735325385,45061029.91104126,45041697.74055481,270303448.91548157,45050574.819246925,6180.928637283587,45057563.30490112,45041697.74055481,270307376.1463165,45051229.35771942,5507.858784750659,45061029.91104126,45044502.25830078,0,0,0,0,147,224,0.025892487168331053,0.025892487168331053,55,70,61.07142857142857,6.204425675208275,38.49489795918366,0,0,0,0,14,0,0,0,1.0,61.07142857142857,55.0,67.14285714285714,147,0,0,0,0,0,0,7,385,7,470,253,1046,7,21,0,0,0,0,0,0,0,0,BENIGN
443,144174.09896850586,9,14,5270,6476,1292,73,585.5555555555555,560.3471366753353,1292,63,462.57142857142856,502.93307056644,81470.94439318021,159.52934795191084,12206.304640997023,19663.310972696774,64834.1178894043,0.0,144174.09896850586,18021.762371063232,21016.460242767564,64834.1178894043,0.0,112158.29849243164,8627.561422494742,17864.826484783975,64834.1178894043,0.0,0,0,0,0,0,0,62.42452745944337,97.10482049246747,63,1292,510.69565217391306,529.5585885213727,280432.2986767486,0,0,0,0,0,0,0,0,1.5555555555555556,510.69565217391306,585.5555555555555,462.57142857142856,0,0,0,0,0,0,0,9,5270,14,6476,0,0,0,0,0,0,0,0,0,0,0,0,BENIGN
60151,285070572.8530884,20,20,1820,1080,91,91,91.0,0.0,54,54,54.0,0.0,10.172919536996616,0.14031613154478093,15001172.724523043,5339.595853669117,15013186.21635437,14990882.873535156,285015443.08662415,15000812.79403285,3121.496016052325,15009604.215621948,14992923.498153687,285029120.44525146,15001532.655013235,6857.0934416317905,15013186.21635437,14990882.873535156,20,0,0,0,1140,400,0.07015806577239046,0.07015806577239046,54,91,72.5,18.5,342.25,0,0,0,20,40,0,0,0,1.0,72.5,91.0,54.0,1140,0,0,0,0,0,0,20,1820,20,1080,19,251,20,57,0,0,0,0,0,0,0,0,BENIGN
443,210001886.60621643,17,17,956,1098,78,54,56.23529411764706,5.450627721699,70,54,64.58823529411765,5.1227155428417035,9.7808645112391,0.16190330739149436,13124820.441007614,4959224.22320275,15019615.888595581,514.7457122802734,209999875.5455017,13124992.221593857,4959520.896136928,15019615.888595581,514.7457122802734,209994378.56674194,13124648.660421371,4958927.526569214,15017815.113067627,2011.0607147216797,1,0,0,0,378,508,0.08095165369574718,0.08095165369574718,54,78,60.411764705882355,6.739338626386662,45.41868512110726,2,0,2,1,32,0,0,0,1.0,60.411764705882355,56.23529411764706,64.58823529411765,378,0,0,0,0,0,0,17,956,17,1098,255,1044,15,20,0,0,0,0,0,0,0,0,BENIGN
