timestamp,src,sport,dst,dport,proto,pkt_count,bytes,duration,pred
05-11-2025 22:01,192.168.1.32,0,239.255.102.18,0,2,1,46,0,
05-11-2025 22:01,192.168.1.28,41323,239.255.255.250,1900,UDP,1,167,0,
05-11-2025 22:01,192.168.1.12,57621,192.168.1.255,57621,UDP,1,82,0,
05-11-2025 22:01,192.168.1.32,55353,104.18.32.47,443,TCP,1,55,0,
05-11-2025 22:01,104.18.32.47,443,192.168.1.32,55353,TCP,1,66,0,
05-11-2025 22:01,192.168.1.32,63249,74.125.200.188,5228,TCP,1,55,0,
05-11-2025 22:01,74.125.200.188,5228,192.168.1.32,63249,TCP,1,66,0,
05-11-2025 22:01,192.168.1.32,54955,13.107.5.93,443,TCP,1,55,0,
05-11-2025 22:01,13.107.5.93,443,192.168.1.32,54955,TCP,1,66,0,
05-11-2025 22:01,192.168.1.32,54778,44.205.133.9,443,TCP,6,14843,0.243,
05-11-2025 22:01,44.205.133.9,443,192.168.1.32,54778,TCP,15,7676,0.283,
05-11-2025 22:01,192.168.1.32,63287,13.107.246.58,443,TCP,1,55,0,
05-11-2025 22:01,13.107.246.58,443,192.168.1.32,63287,TCP,1,66,0,
05-11-2025 22:01,192.168.1.32,63286,150.171.73.16,443,TCP,1,55,0,
05-11-2025 22:01,150.171.73.16,443,192.168.1.32,63286,TCP,1,66,0,
05-11-2025 22:01,192.168.1.32,64892,104.215.40.100,443,TCP,2,166,0.173,
05-11-2025 22:01,104.215.40.100,443,192.168.1.32,64892,TCP,1,101,0,
05-11-2025 22:01,192.168.1.32,63289,140.82.114.21,443,TCP,1,55,0,
05-11-2025 22:01,140.82.114.21,443,192.168.1.32,63289,TCP,1,66,0,
05-11-2025 22:01,192.168.1.32,137,192.168.1.1,137,UDP,5,550,10.553,
05-11-2025 22:01,192.168.1.32,54957,13.107.213.58,443,TCP,1,55,0,
05-11-2025 22:01,13.107.213.58,443,192.168.1.32,54957,TCP,1,66,0,
05-11-2025 22:01,192.168.1.32,63298,140.82.113.21,443,TCP,1,55,0,
05-11-2025 22:01,140.82.113.21,443,192.168.1.32,63298,TCP,1,66,0,
05-11-2025 22:01,192.168.1.32,51170,18.161.216.116,443,TCP,1,55,0,
05-11-2025 22:01,18.161.216.116,443,192.168.1.32,51170,TCP,1,66,0,
05-11-2025 22:01,40.79.173.41,443,192.168.1.32,50314,TCP,1,54,0,
05-11-2025 22:01,192.168.1.32,59477,140.82.114.22,443,TCP,1,55,0,
05-11-2025 22:01,140.82.114.22,443,192.168.1.32,59477,TCP,1,66,0,
